Altium Designer Pick and Place Locations
E:\ProjectB\FOXBMS\foxbms-1\hardware\hw-extension\Sources\Project Outputs for extension\Pick Place for extension.csv

========================================================================================================================
File Design Information:

Date:       05/03/22
Time:       19:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"L801","51uH","TopLayer","B82789C0/S0","344.000","3421.000","270","Common Mode Choke"
"D1102","CDSOD323-T05","TopLayer","SODFL250X110-2N","3401.908","3932.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1904","CDSOD323-T05","TopLayer","SODFL250X110-2N","1703.908","3402.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1903","CDSOD323-T05","TopLayer","SODFL250X110-2N","1782.815","3402.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1902","CDSOD323-T05","TopLayer","SODFL250X110-2N","1546.092","3402.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1901","CDSOD323-T05","TopLayer","SODFL250X110-2N","1625.000","3402.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1103","CDSOD323-T05","TopLayer","SODFL250X110-2N","3330.000","3932.000","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1101","CDSOD323-T05","TopLayer","SODFL250X110-2N","3473.815","3932.311","270","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"SLOT1501","molex_47352-1001","TopLayer","MOLEX_47352_1001","5651.000","4394.713","180","1.10mm Pitch Memorycard Card Connector, Push-Push Type, with VSS (Supply Voltage Ground) Detect Switch, Lead-Free"
"T901","BUK964R8-60E,118","TopLayer","NXP-SOT404_M","2142.618","3893.650","180","N-Channel TrenchMOS Logic Level FET, 60 V, 100 A, 3-Pin SOT404, Tape and Reel"
"D801","PESD1CAN","TopLayer","NXP-SOT23-3_V","322.500","4237.400","180","CAN Bus ESD Protection Diode, 200 W, 24 V, -65 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"IC1903","ADUM3402BRWZ","TopLayer","ADI-RW-16_N","2100.000","2956.150","270","Quad Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 10 Mbps Data Rate, 50 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1902","ADUM3402BRWZ","TopLayer","ADI-RW-16_N","1675.000","2956.150","270","Quad Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 10 Mbps Data Rate, 50 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1901","UA78L05CPK","TopLayer","PK0003A_L","2084.695","3506.150","180","Positive-Voltage Regulator, 100 mA, 0 to 125 degC, 3-Pin SOT-89 (PK), Green (RoHS & no Sb/Br), Tape and Reel"
"IC1701","ADR3425ARJZ-R2","TopLayer","ADI-RJ-6_N","5250.246","4100.000","360","Micropower, High Accuracy Voltage Reference, 2.5 V Output, 2.7 to 5.5 V Supply, Industrial, 6-pin SOT23 (RJ-6), Reel"
"IC1301","UA78L05CPK","TopLayer","PK0003A_L","1075.000","3884.595","270","Positive-Voltage Regulator, 100 mA, 0 to 125 degC, 3-Pin SOT-89 (PK), Green (RoHS & no Sb/Br), Tape and Reel"
"IC1303","ADUM3401CRWZ","TopLayer","ADI-RW-16_N","1136.250","2957.400","90","Quad Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1302","LT1785","TopLayer","SOIC127P600X175-8N","1137.500","3437.400","90","Transceiver RS422/RS485, Fault Protected, 4.75V-5.25V supply, SOIC-8"
"IC1102","ADUM3300CRWZ","TopLayer","ADI-RW-16_L","3356.250","2949.900","270","Triple Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1101","UA78L05CPK","TopLayer","PK0003A_L","3356.250","3621.455","90","Positive-Voltage Regulator, 100 mA, 0 to 125 degC, 3-Pin SOT-89 (PK), Green (RoHS & no Sb/Br), Tape and Reel"
"T1003","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","2456.250","2668.650","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"T1002","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","2737.500","2668.650","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"T1001","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","3006.250","2668.650","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"T801","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","762.500","2712.400","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"IC802","CPC1008N","TopLayer","SOP254P610X218-4N","717.096","2949.900","90","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"IC801","KA7805ERT","TopLayer","DPAK228P950X240-3N","625.000","3652.754","270","3-Terminal 1 A Positive Voltage Regulator"
"IC803","TJA1052IT/5Y","TopLayer","NXP-SOIC-16_L","400.000","2950.000","90","Galvanically Isolated High-Speed CAN Transceiver, -40 to 125 degC, 16-Pin SOIC, RoHS, Tape and Reel"
"R1905","47R","TopLayer","RESC1608X05N","1770.000","3532.400","90","SMD Resistor 47R 0603"
"R1906","47R","TopLayer","RESC1608X05N","1720.000","3532.400","90","SMD Resistor 47R 0603"
"R1902","47R","TopLayer","RESC1608X05N","1575.000","3532.400","90","SMD Resistor 47R 0603"
"R1901","47R","TopLayer","RESC1608X05N","1625.000","3532.400","90","SMD Resistor 47R 0603"
"R1103","47R","TopLayer","RESC1608X05N","3350.000","4062.400","90","SMD Resistor 47R 0603"
"R1102","47R","TopLayer","RESC1608X05N","3410.000","4062.400","90","SMD Resistor 47R 0603"
"R1101","47R","TopLayer","RESC1608X05N","3470.000","4062.400","90","SMD Resistor 47R 0603"
"F1003","Schurter SMD Fuse 4.0A UMT 3403.0172.11","TopLayer","Schurter_UMT_250","2455.000","3482.400","90","Schurter SMD Fuse 4.0A UMT 3403.0172.11"
"F1002","Schurter SMD Fuse 4.0A UMT 3403.0172.11","TopLayer","Schurter_UMT_250","2730.000","3482.400","90","Schurter SMD Fuse 4.0A UMT 3403.0172.11"
"F1001","Schurter SMD Fuse 4.0A UMT 3403.0172.11","TopLayer","Schurter_UMT_250","3005.000","3482.400","90","Schurter SMD Fuse 4.0A UMT 3403.0172.11"
"JP2202","X2x12","BottomLayer","Pinheader_2.54_2x12","905.510","157.480","180","Board-To-Board Connector, Vertical, Low Profile, 2.54 mm, 24 Contacts, Header, TLW Series, Through Hole, 2 Rows"
"JP2201","X2x12","BottomLayer","Pinheader_2.54_2x12","2677.170","157.480","180","Board-To-Board Connector, Vertical, Low Profile, 2.54 mm, 24 Contacts, Header, TLW Series, Through Hole, 2 Rows"
"LSP2102","Testpoint_Square","TopLayer","Testpoint_S1","5875.000","1337.400","0","Testpoint, square"
"LSP2101","Testpoint_Square","TopLayer","Testpoint_S1","5875.000","1737.400","0","Testpoint, square"
"LSP2005","Testpoint_Square","TopLayer","Testpoint_S1","4205.000","1667.400","90","Testpoint, square"
"LSP2006","Testpoint_Square","TopLayer","Testpoint_S1","4605.000","1667.400","90","Testpoint, square"
"LSP2004","Testpoint_Square","TopLayer","Testpoint_S1","4475.000","1667.400","90","Testpoint, square"
"LSP2003","Testpoint_Square","TopLayer","Testpoint_S1","4070.000","1667.400","90","Testpoint, square"
"LSP2001","Testpoint_Square","TopLayer","Testpoint_S1","3935.000","1667.400","90","Testpoint, square"
"LSP2002","Testpoint_Square","TopLayer","Testpoint_S1","4340.000","1667.400","90","Testpoint, square"
"LSP1908","Testpoint_Square","TopLayer","Testpoint_S1","1975.000","2437.400","270","Testpoint, square"
"LSP1906","Testpoint_Square","TopLayer","Testpoint_S1","2075.000","2437.400","270","Testpoint, square"
"LSP1907","Testpoint_Square","TopLayer","Testpoint_S1","2175.000","2437.400","270","Testpoint, square"
"LSP1905","Testpoint_Square","TopLayer","Testpoint_S1","2275.000","2437.400","270","Testpoint, square"
"LSP1902","Testpoint_Square","TopLayer","Testpoint_S1","1525.000","2437.400","270","Testpoint, square"
"LSP1904","Testpoint_Square","TopLayer","Testpoint_S1","1625.000","2437.400","270","Testpoint, square"
"LSP1901","Testpoint_Square","TopLayer","Testpoint_S1","1725.000","2437.400","270","Testpoint, square"
"LSP1903","Testpoint_Square","TopLayer","Testpoint_S1","1825.000","2437.400","270","Testpoint, square"
"LSP1703","Testpoint_Square","TopLayer","Testpoint_S1","5200.000","2437.400","90","Testpoint, square"
"LSP1702","Testpoint_Square","TopLayer","Testpoint_S1","5100.000","2437.400","90","Testpoint, square"
"LSP1705","Testpoint_Square","TopLayer","Testpoint_S1","5000.000","2437.400","90","Testpoint, square"
"LSP1704","Testpoint_Square","TopLayer","Testpoint_S1","4900.000","2437.400","90","Testpoint, square"
"LSP1701","Testpoint_Square","TopLayer","Testpoint_S1","4800.000","2437.400","90","Testpoint, square"
"LSP1501","Testpoint_Square","TopLayer","Testpoint_S1","5325.000","2437.400","270","Testpoint, square"
"LSP1502","Testpoint_Square","TopLayer","Testpoint_S1","5475.000","2437.400","270","Testpoint, square"
"LSP1503","Testpoint_Square","TopLayer","Testpoint_S1","5625.000","2437.400","270","Testpoint, square"
"LSP1504","Testpoint_Square","TopLayer","Testpoint_S1","5775.000","2437.400","270","Testpoint, square"
"LSP1505","Testpoint_Square","TopLayer","Testpoint_S1","5900.000","2437.400","270","Testpoint, square"
"LSP1301","Testpoint_Square","TopLayer","Testpoint_S1","1000.000","2437.400","90","Testpoint, square"
"LSP1302","Testpoint_Square","TopLayer","Testpoint_S1","1220.000","2437.400","90","Testpoint, square"
"LSP1303","Testpoint_Square","TopLayer","Testpoint_S1","1110.000","2437.400","90","Testpoint, square"
"LSP1304","Testpoint_Square","TopLayer","Testpoint_S1","1330.000","2437.400","90","Testpoint, square"
"LSP1103","Testpoint_Square","TopLayer","Testpoint_S1","3400.000","2437.400","90","Testpoint, square"
"LSP1101","Testpoint_Square","TopLayer","Testpoint_S1","3550.000","2437.400","90","Testpoint, square"
"LSP1102","Testpoint_Square","TopLayer","Testpoint_S1","3250.000","2437.400","90","Testpoint, square"
"LSP1003","Testpoint_Square","TopLayer","Testpoint_S1","2490.000","2437.400","270","Testpoint, square"
