Altium Designer Pick and Place Locations
E:\ProjectB\FOXBMS\foxbms-1\hardware\hw-interface-ltc6820\Sources\Project Outputs for interface\Pick Place for interface.csv

========================================================================================================================
File Design Information:

Date:       05/03/22
Time:       13:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R203_2","0R","TopLayer","RESC1608X05N","1495.357","1415.479","90","SMD Resistor 0R 0603"
"R203_1","0R","TopLayer","RESC1608X05N","305.611","1415.479","90","SMD Resistor 0R 0603"
"R202_2","20k","TopLayer","RESC1608X05N","1593.242","1387.920","360","SMD Resistor 20k 0603"
"R202_1","20k","TopLayer","RESC1608X05N","396.890","1387.920","360","SMD Resistor 20k 0603"
"J501","TE_534206-4","TopLayer","TE_534206-4","1023.622","3228.347","0","Board-To-Board Connector, Dual, 2.54 mm, 8 Contacts, Receptacle, Through Hole, 2 Rows"
"J500","TE_534206-4","TopLayer","TE_534206-4","610.236","3228.347","0","Board-To-Board Connector, Dual, 2.54 mm, 8 Contacts, Receptacle, Through Hole, 2 Rows"
"TR400_1","HM2102NL","TopLayer","HM2102NL","449.350","2637.903","270","Pulse HM2102NL BMS Transformer"
"IC250_2","LTC6820HMS#PBF","TopLayer","LT-MS-16_M","200.000","1980.000","90","IsoSPI Isolated Communication Interface, 2.7 to 5.5 V, -40 to 125 degC, 16-Pin MSOP (MS), Pb-Free"
"J505","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","1126.438","3687.004","0","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"J504","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","1420.447","3687.004","0","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"J503","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","538.418","3687.004","0","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"J502","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","832.428","3687.004","0","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"R201_2","2k","TopLayer","RESC1608X05N","1298.000","1695.000","180","SMD Resistor 2k 0603"
"R201_1","2k","TopLayer","RESC1608X05N","135.000","1695.000","360","SMD Resistor 2k 0603"
"R200_2","2k","TopLayer","RESC1608X05N","1298.000","1625.000","180","SMD Resistor 2k 0603"
"R200_1","2k","TopLayer","RESC1608X05N","135.000","1625.000","360","SMD Resistor 2k 0603"
"U200_2","SN74LVC00APWR","TopLayer","PW0014A_M","1572.128","1626.414","90","Quadruple 2-Input Positive-NAND Gate, PW0014A, LARGE T&R"
"U200_1","SN74LVC00APWR","TopLayer","PW0014A_M","382.382","1626.414","90","Quadruple 2-Input Positive-NAND Gate, PW0014A, LARGE T&R"
"R251_3","1k2","TopLayer","RESC1608X05N","1609.000","1923.898","90","SMD Resistor 1k2 0603"
"R251_4","1k2","TopLayer","RESC1608X05N","1210.148","1925.000","90","SMD Resistor 1k2 0603"
"R250_3","806R","TopLayer","RESC1608X05N","1609.000","2036.102","90","SMD Resistor 806R 0603"
"R250_4","806R","TopLayer","RESC1608X05N","1210.148","2036.102","90","SMD Resistor 806R 0603"
"IC250_3","LTC6820HMS#PBF","TopLayer","LT-MS-16_M","1754.000","1980.000","90","IsoSPI Isolated Communication Interface, 2.7 to 5.5 V, -40 to 125 degC, 16-Pin MSOP (MS), Pb-Free"
"IC250_4","LTC6820HMS#PBF","TopLayer","LT-MS-16_M","1355.000","1980.000","90","IsoSPI Isolated Communication Interface, 2.7 to 5.5 V, -40 to 125 degC, 16-Pin MSOP (MS), Pb-Free"
"C200_2","100n/50V","TopLayer","CAPC1608X08N","1441.031","1717.950","90","MLCC"
"C200_1","100n/50V","TopLayer","CAPC1608X08N","253.162","1717.950","90","MLCC"
"C250_3","100n/50V","TopLayer","CAPC1608X08N","1901.000","2070.000","90","MLCC"
"C250_4","100n/50V","TopLayer","CAPC1608X08N","1499.000","2071.000","90","MLCC"
"C251_3","100n/50V","TopLayer","CAPC1608X08N","1901.000","1890.000","90","MLCC"
"C251_4","100n/50V","TopLayer","CAPC1608X08N","1499.000","1894.000","90","MLCC"
