Board Layer Stack
Number,Name,Type,Material,Thickness (mm),Weight (oz),Dk,Orientation,Copper Orientation
,Top Overlay,Overlay,,,,,,
,Top Solder,Solder Mask,Solder Resist,0.01501,,3.5,,
1,Top Copper,Signal,,0.035,1,,Top,Above
,Dielectric 1,Prepreg,FR-4,0.35999,,4.6,,
2,GND,Signal,,0.035,1,,Not allowed,Above
,Dielectric 2,Core,FR-4,0.7,,4.6,,
3,Supply,Signal,,0.035,1,,Not allowed,Below
,Dielectric 3,Prepreg,FR-4,0.35999,,4.6,,
4,Bot Copper,Signal,,0.035,1,,Bottom,Below
,Bottom Solder,Solder Mask,Solder Resist,0.01501,,3.5,,
,Bottom Overlay,Overlay,,,,,,


No impedances

Via types
#,Name,Type,Layers,Stack
1,Thru 1:4,Thru,Top Copper-Bot Copper,Board Layer Stack


No back drills
