Altium Designer Pick and Place Locations
E:\ProjectB\FOXBMS\foxbms-1\hardware\hw-master\Sources\Project Outputs for master\Pick Place for master.csv

========================================================================================================================
File Design Information:

Date:       05/03/22
Time:       12:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP4","Testpoint_Square","TopLayer","Testpoint_S1","175.000","3130.000","90","Testpoint, square"
"TP3","Testpoint_Square","TopLayer","Testpoint_S1","4328.691","3515.000","90","Testpoint, square"
"TP2","Testpoint_Square","TopLayer","Testpoint_S1","570.000","3795.000","90","Testpoint, square"
"TP1","Testpoint_Square","TopLayer","Testpoint_S1","4530.000","3970.000","90","Testpoint, square"
"Q402","ABS07-32.768KHz-T","TopLayer","ABRA-ABS07-2_V","3762.069","861.967","90","Crystal, 32.768 kHz, 12.5 pF, -40 to 85 degC, SMD Low Profile 3.2 x 1.5 x 0.9 mm, Tape and Reel"
"T201","TISP4040H1BJR-S","TopLayer","SMB","5775.000","3949.410","270","BIDIRECTIONAL THYRISTOR OVERVOLTAGE PROTECTOR"
"F201","fuse_2A_0452002.MRL","TopLayer","LITTLEFUSE_452_454","5850.000","4186.910","0","Littlefuse NANO SLO-BLO Fuse 2A 8.20A쾠 0452002.MRL"
"D1106","CDSOD323-T05","TopLayer","SODFL250X110-2N","4468.750","4318.160","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1105","CDSOD323-T05","TopLayer","SODFL250X110-2N","3231.250","4336.910","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1104","CDSOD323-T05","TopLayer","SODFL250X110-2N","4056.250","4336.910","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1103","CDSOD323-T05","TopLayer","SODFL250X110-2N","2818.750","4336.910","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1102","CDSOD323-T05","TopLayer","SODFL250X110-2N","3643.750","4336.910","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D1101","CDSOD323-T05","TopLayer","SODFL250X110-2N","2406.250","4336.910","90","TVS Diode, CDSOD323 Series, Unidirectional, 5 V, 18.3 V, SOD-323, 2 Pins"
"D801","PESD1CAN","TopLayer","NXP-SOT23-3_V","4896.000","4318.000","270","CAN Bus ESD Protection Diode, 200 W, 24 V, -65 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"IC301","LM1085IS-3.3/NOPB","TopLayer","KTT0003B_N","819.193","1930.660","360","3A Low Dropout Positive Regulators, 3-pin TO-263, Pb-Free"
"IC201","LM1085IS-3.3/NOPB","TopLayer","KTT0003B_N","5812.943","1899.410","360","3A Low Dropout Positive Regulators, 3-pin TO-263, Pb-Free"
"IC501","STM32F429VIT6","TopLayer","STM-LQFP100_N","887.500","1155.660","180","ARM Cortex-M4 32-bit MCU+FPU, 225 DMIPS, 2048 kB Flash, 256 kB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 85 degC, Tray"
"X502","FTSH-110-01-L-DV-007-K-P","TopLayer","CORTEX_DEBUG_20_PIN","2460.630","399.410","180","Board-To-Board Connector, ARM Cortex Debug Header 20 Pin"
"Q501","7B-8.000MAAJ-T","TopLayer","TXC-7B-4_V","1387.500","1280.660","90","SMD Seam Sealing Crystal, 8 MHz, +/- 30 ppm, 18 pF, -10 to 70 degC, 4-Pin SMD, RoHS, Tape and Reel"
"S501","KMR221GLFS","TopLayer","KMR2_Series","2195.715","149.410","270","Microminiature Tactile Switch"
"IC402","STM32F429IIT6","TopLayer","STM-LQFP176_N","4087.500","1605.660","90","ARM Cortex-M4 32-bit MCU+FPU, 225 DMIPS, 2048 kB Flash, 256 kB Internal RAM, 140 I/Os, 176-pin LQFP, -40 to 85 degC, Tray"
"X403","FTSH-110-01-L-DV-007-K-P","TopLayer","CORTEX_DEBUG_20_PIN","2460.628","1386.910","360","Board-To-Board Connector, ARM Cortex Debug Header 20 Pin"
"Q401","7B-8.000MAAJ-T","TopLayer","TXC-7B-4_V","4212.500","643.160","0","SMD Seam Sealing Crystal, 8 MHz, +/- 30 ppm, 18 pF, -10 to 70 degC, 4-Pin SMD, RoHS, Tape and Reel"
"S401","KMR221GLFS","TopLayer","KMR2_Series","2164.465","1486.910","270","Microminiature Tactile Switch"
"BATT","battholder","TopLayer","SMTU_1225-1-LF","5268.750","618.160","180","SMTU 1225-1-LF, Battery Holder 1225"
"IC1801","IS42S16400J-7TLI","TopLayer","TSOP80P1180X120-54N","5393.750","1368.160","90","SDRAM, 4M x 16 Bit"
"IC1501","M95M02-DRMN6TP","TopLayer","SOIC127P600X175-8N","3256.250","486.910","360","2-Mbit serial SPI bus EEPROM"
"IC1406","ADUM3401CRWZ","TopLayer","ADI-RW-16_N","300.000","2786.910","270","Quad Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1403","ADUM3401CRWZ","TopLayer","ADI-RW-16_N","4350.000","2868.160","360","Quad Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1404","IP4220CZ6","TopLayer","TSOP95P280X110-6N","306.250","4236.910","90","Usb ESD protection diodes"
"IC1401","IP4220CZ6","TopLayer","TSOP95P280X110-6N","4593.750","4243.160","360","Usb ESD protection diodes"
"IC1103","ADUM3300CRWZ","TopLayer","ADI-RW-16_L","3737.500","2911.910","180","Triple Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1102","ADUM3300CRWZ","TopLayer","ADI-RW-16_L","2762.500","2911.910","180","Triple Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC1101","UA78L05CPK","TopLayer","PK0003A_L","4043.750","3714.715","90","Positive-Voltage Regulator, 100 mA, 0 to 125 degC, 3-Pin SOT-89 (PK), Green (RoHS & no Sb/Br), Tape and Reel"
"IC904","CPC1008N","TopLayer","SOP254P610X218-4N","2095.000","2561.910","90","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"IC905","CPC1008N","TopLayer","SOP254P610X218-4N","1624.876","2738.082","360","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"IC903","CPC1008N","TopLayer","SOP254P610X218-4N","1625.445","2918.229","180","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"IC902","CPC1008N","TopLayer","SOP254P610X218-4N","1915.000","2561.910","270","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"IC802","TJA1052IT/5Y","TopLayer","NXP-SOIC-16_L","4687.500","3399.410","90","Galvanically Isolated High-Speed CAN Transceiver, -40 to 125 degC, 16-Pin SOIC, RoHS, Tape and Reel"
"IC803","CPC1008N","TopLayer","SOP254P610X218-4N","4993.750","3349.410","90","Single-Pole, Normally Open 4-Pin SOP OptoMOS Relay"
"L801","51uH","TopLayer","B82789C0/S0","5065.000","4160.000","270","Common Mode Choke"
"IC801","KA7805ERT","TopLayer","DPAK228P950X240-3N","4959.646","3811.910","360","3-Terminal 1 A Positive Voltage Regulator"
"IC702","ADUM3301CRWZ","TopLayer","ADI-RW-16_N","5175.000","2936.910","180","Triple Channel Digital Isolator, Enhanced System-Level ESD Reliability, 2.5 KV rms Insulation Rating, 90 Mbps Data Rate, 32 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube"
"IC701","UA78L05CPK","TopLayer","PK0003A_L","5475.000","3677.215","90","Positive-Voltage Regulator, 100 mA, 0 to 125 degC, 3-Pin SOT-89 (PK), Green (RoHS & no Sb/Br), Tape and Reel"
