Altium Designer Pick and Place Locations
E:\ProjectB\FOXBMS\foxbms-1\hardware\hw-slave-18-ltc6813-1\Sources\Project Outputs for slave-18-ltc6813-1\Pick Place for slave.csv

========================================================================================================================
File Design Information:

Date:       05/03/22
Time:       13:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R119_2","100R","TopLayer","RESC1608X05N","2493.750","562.500","270","SMD Resistor 100R 0603"
"R119_1","100R","TopLayer","RESC1608X05N","3618.750","562.500","270","SMD Resistor 100R 0603"
"R118_2","100R","TopLayer","RESC1608X05N","2556.250","562.500","270","SMD Resistor 100R 0603"
"R118_1","100R","TopLayer","RESC1608X05N","3681.250","562.500","270","SMD Resistor 100R 0603"
"R117_2","100R","TopLayer","RESC1608X05N","2618.750","562.500","270","SMD Resistor 100R 0603"
"R117_1","100R","TopLayer","RESC1608X05N","3743.750","562.500","270","SMD Resistor 100R 0603"
"R116_2","100R","TopLayer","RESC1608X05N","2681.250","562.500","270","SMD Resistor 100R 0603"
"R116_1","100R","TopLayer","RESC1608X05N","3806.250","562.500","270","SMD Resistor 100R 0603"
"R115_2","100R","TopLayer","RESC1608X05N","2743.750","562.500","270","SMD Resistor 100R 0603"
"R115_1","100R","TopLayer","RESC1608X05N","3868.750","562.500","270","SMD Resistor 100R 0603"
"R114_2","100R","TopLayer","RESC1608X05N","2806.250","562.500","270","SMD Resistor 100R 0603"
"R114_1","100R","TopLayer","RESC1608X05N","3931.250","562.500","270","SMD Resistor 100R 0603"
"R113_2","100R","TopLayer","RESC1608X05N","2868.750","562.500","270","SMD Resistor 100R 0603"
"R113_1","100R","TopLayer","RESC1608X05N","3993.750","562.500","270","SMD Resistor 100R 0603"
"R112_2","100R","TopLayer","RESC1608X05N","2931.250","562.500","270","SMD Resistor 100R 0603"
"R112_1","100R","TopLayer","RESC1608X05N","4056.250","562.500","270","SMD Resistor 100R 0603"
"C115_2","10n/100V","TopLayer","CAPC1608X08N","2493.750","668.750","270","MLCC"
"C115_1","10n/100V","TopLayer","CAPC1608X08N","3618.750","668.750","270","MLCC"
"C114_2","10n/100V","TopLayer","CAPC1608X08N","2556.250","668.750","270","MLCC"
"C114_1","10n/100V","TopLayer","CAPC1608X08N","3681.250","668.750","270","MLCC"
"C113_2","10n/100V","TopLayer","CAPC1608X08N","2618.750","668.750","270","MLCC"
"C113_1","10n/100V","TopLayer","CAPC1608X08N","3743.750","668.750","270","MLCC"
"C112_2","10n/100V","TopLayer","CAPC1608X08N","2681.250","668.750","270","MLCC"
"C112_1","10n/100V","TopLayer","CAPC1608X08N","3806.250","668.750","270","MLCC"
"C111_2","10n/100V","TopLayer","CAPC1608X08N","2743.750","668.750","270","MLCC"
"C111_1","10n/100V","TopLayer","CAPC1608X08N","3868.750","668.750","270","MLCC"
"C110_2","10n/100V","TopLayer","CAPC1608X08N","2806.250","668.750","270","MLCC"
"C110_1","10n/100V","TopLayer","CAPC1608X08N","3931.250","668.750","270","MLCC"
"C109_2","10n/100V","TopLayer","CAPC1608X08N","2868.750","668.750","270","MLCC"
"C109_1","10n/100V","TopLayer","CAPC1608X08N","3993.750","668.750","270","MLCC"
"C108_2","10n/100V","TopLayer","CAPC1608X08N","2931.250","668.750","270","MLCC"
"C108_1","10n/100V","TopLayer","CAPC1608X08N","4056.250","668.750","270","MLCC"
"R111_2","0R","TopLayer","RESC1608X05N","962.500","2112.500","180","SMD Resistor 0R 0603"
"R111_1","0R","TopLayer","RESC1608X05N","1175.000","2477.854","270","SMD Resistor 0R 0603"
"R110_2","0R","TopLayer","RESC1608X05N","3018.652","718.750","180","SMD Resistor 0R 0603"
"R110_1","0R","TopLayer","RESC1608X05N","4143.652","722.307","180","SMD Resistor 0R 0603"
"R1427_2","10k","TopLayer","RESC1608X05N","295.000","1215.000","90","SMD Resistor 10k 0603"
"R1427_1","10k","TopLayer","RESC1608X05N","510.000","1215.000","90","SMD Resistor 10k 0603"
"R1426_2","10k","TopLayer","RESC1608X05N","350.000","1215.000","90","SMD Resistor 10k 0603"
"R1426_1","10k","TopLayer","RESC1608X05N","565.000","1215.000","90","SMD Resistor 10k 0603"
"R1425_2","10k","TopLayer","RESC1608X05N","405.000","1215.000","90","SMD Resistor 10k 0603"
"R1425_1","10k","TopLayer","RESC1608X05N","620.000","1215.000","90","SMD Resistor 10k 0603"
"R1424_2","10k","TopLayer","RESC1608X05N","3532.500","2183.159","90","SMD Resistor 10k 0603"
"R1424_1","10k","TopLayer","RESC1608X05N","6001.250","2133.809","180","SMD Resistor 10k 0603"
"R1423_2","10k","TopLayer","RESC1608X05N","2950.000","2225.000","180","SMD Resistor 10k 0603"
"R1423_1","10k","TopLayer","RESC1608X05N","6001.250","2073.411","180","SMD Resistor 10k 0603"
"R1422_2","10k","TopLayer","RESC1608X05N","2950.000","2170.000","180","SMD Resistor 10k 0603"
"R1422_1","10k","TopLayer","RESC1608X05N","6090.000","2017.500","90","SMD Resistor 10k 0603"
"R1421_2","10k","TopLayer","RESC1608X05N","2950.000","2115.000","180","SMD Resistor 10k 0603"
"R1421_1","10k","TopLayer","RESC1608X05N","6090.000","1885.000","90","SMD Resistor 10k 0603"
"R610_1","0R","TopLayer","RESC1608X05N","4325.000","1800.000","270","SMD Resistor 0R 0603"
"R610_2","0R","TopLayer","RESC1608X05N","2175.000","1800.000","270","SMD Resistor 0R 0603"
"R609_2","0R","TopLayer","RESC1608X05N","1987.500","1800.000","180","SMD Resistor 0R 0603"
"R609_1","0R","TopLayer","RESC1608X05N","4137.500","1812.500","180","SMD Resistor 0R 0603"
"R608_2","68k","TopLayer","RESC1608X05N","1925.000","1637.500","180","SMD Resistor 68k 0603"
"R608_1","68k","TopLayer","RESC1608X05N","4100.000","1662.500","180","SMD Resistor 68k 0603"
"R607_2","10k","TopLayer","RESC1608X05N","1849.902","1725.000","90","SMD Resistor 10k 0603"
"R607_1","10k","TopLayer","RESC1608X05N","4000.000","1737.500","90","SMD Resistor 10k 0603"
"R606_2","124k","TopLayer","RESC1608X05N","2075.000","1725.000","90","SMD Resistor 124k 0603"
"R606_1","124k","TopLayer","RESC1608X05N","4225.000","1737.500","90","SMD Resistor 124k 0603"
"R605_2","10k","TopLayer","RESC1608X05N","2125.000","1725.000","90","SMD Resistor 10k 0603"
"R605_1","10k","TopLayer","RESC1608X05N","4275.000","1737.500","90","SMD Resistor 10k 0603"
"Q600_2","PBSS4112PANP","TopLayer","PBSS4112PANP","1987.497","1724.995","180","Dual NPN/PNP Transistor"
"Q600_1","PBSS4112PANP","TopLayer","PBSS4112PANP","4137.497","1737.495","180","Dual NPN/PNP Transistor"
"C608_2","10n/100V","TopLayer","CAPC1608X08N","1900.000","1725.000","270","MLCC"
"C608_1","10n/100V","TopLayer","CAPC1608X08N","4050.000","1737.500","270","MLCC"
"U1117","ACPL-217","TopLayer","SOIC127P700X220-4N","2137.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1116","ACPL-217","TopLayer","SOIC127P700X220-4N","2012.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1115","ACPL-217","TopLayer","SOIC127P700X220-4N","1887.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1114","ACPL-217","TopLayer","SOIC127P700X220-4N","1762.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1113","ACPL-217","TopLayer","SOIC127P700X220-4N","1637.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1112","ACPL-217","TopLayer","SOIC127P700X220-4N","1512.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1111","ACPL-217","TopLayer","SOIC127P700X220-4N","3987.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1110","ACPL-217","TopLayer","SOIC127P700X220-4N","3862.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1109","ACPL-217","TopLayer","SOIC127P700X220-4N","2637.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1108","ACPL-217","TopLayer","SOIC127P700X220-4N","2512.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1107","ACPL-217","TopLayer","SOIC127P700X220-4N","2387.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1106","ACPL-217","TopLayer","SOIC127P700X220-4N","2262.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
"U1105","ACPL-217","TopLayer","SOIC127P700X220-4N","4737.500","2387.500","270","Optocoupler, Transistor Output, 1 Channel"
